item_id,id,date,mean
210. ifc몰,st-56,2021-12-02T00:09:00Z,20.746710005731728
210. ifc몰,st-56,2021-12-02T00:10:00Z,20.561870487191996
210. ifc몰,st-56,2021-12-02T00:11:00Z,20.68999226646575
210. ifc몰,st-56,2021-12-02T00:12:00Z,20.43307933418549
210. ifc몰,st-56,2021-12-02T00:13:00Z,20.50994521803145
210. ifc몰,st-56,2021-12-02T00:14:00Z,20.771297560259214
210. ifc몰,st-56,2021-12-02T00:15:00Z,20.30899905670152
210. ifc몰,st-56,2021-12-02T00:16:00Z,20.55898229700266
210. ifc몰,st-56,2021-12-02T00:17:00Z,20.653183821280585
210. ifc몰,st-56,2021-12-02T00:18:00Z,20.889144043739353
210. ifc몰,st-56,2021-12-02T00:19:00Z,19.940134829041
210. ifc몰,st-56,2021-12-02T00:20:00Z,20.54355681217314
210. ifc몰,st-56,2021-12-02T00:21:00Z,20.536967911606393
210. ifc몰,st-56,2021-12-02T00:22:00Z,20.624352375309876
210. ifc몰,st-56,2021-12-02T00:23:00Z,20.52397980446335
210. ifc몰,st-56,2021-12-02T00:24:00Z,20.967831982371486
210. ifc몰,st-56,2021-12-02T00:25:00Z,20.83577439327928
210. ifc몰,st-56,2021-12-02T00:26:00Z,20.865470274910056
210. ifc몰,st-56,2021-12-02T00:27:00Z,20.937689082052856
210. ifc몰,st-56,2021-12-02T00:28:00Z,20.805485514165248
210. ifc몰,st-56,2021-12-02T00:29:00Z,20.836619581717805
210. ifc몰,st-56,2021-12-02T00:30:00Z,21.13045956747364
210. ifc몰,st-56,2021-12-02T00:31:00Z,20.65128630668788
210. ifc몰,st-56,2021-12-02T00:32:00Z,21.111611199968088
210. ifc몰,st-56,2021-12-02T00:33:00Z,20.90705459704073
210. ifc몰,st-56,2021-12-02T00:34:00Z,20.374247158093645
210. ifc몰,st-56,2021-12-02T00:35:00Z,20.96518406430803
210. ifc몰,st-56,2021-12-02T00:36:00Z,20.84343082319904
210. ifc몰,st-56,2021-12-02T00:37:00Z,21.026453035841485
210. ifc몰,st-56,2021-12-02T00:38:00Z,21.167700773621053
210. ifc몰,st-56,2021-12-02T00:39:00Z,20.724166201990986
210. ifc몰,st-56,2021-12-02T00:40:00Z,20.405919279698068
210. ifc몰,st-56,2021-12-02T00:41:00Z,20.645438224608412
210. ifc몰,st-56,2021-12-02T00:42:00Z,20.431443106376697
210. ifc몰,st-56,2021-12-02T00:43:00Z,20.38232060380119
210. ifc몰,st-56,2021-12-02T00:44:00Z,20.674607980531253
210. ifc몰,st-56,2021-12-02T00:45:00Z,20.49960547291201
210. ifc몰,st-56,2021-12-02T00:46:00Z,20.48638620177078
210. ifc몰,st-56,2021-12-02T00:47:00Z,19.99824100273065
210. ifc몰,st-56,2021-12-02T00:48:00Z,20.65294735433551
210. ifc몰,st-56,2021-12-02T00:49:00Z,20.209730226260668
210. ifc몰,st-56,2021-12-02T00:50:00Z,20.478150230593847
210. ifc몰,st-56,2021-12-02T00:51:00Z,19.949070116281092
210. ifc몰,st-56,2021-12-02T00:52:00Z,20.646526527289545
210. ifc몰,st-56,2021-12-02T00:53:00Z,20.053477206895185
210. ifc몰,st-56,2021-12-02T00:54:00Z,19.83376705128766
210. ifc몰,st-56,2021-12-02T00:55:00Z,20.226225706333082
210. ifc몰,st-56,2021-12-02T00:56:00Z,19.398795786435297
210. ifc몰,st-56,2021-12-02T00:57:00Z,19.948094629716838
210. ifc몰,st-56,2021-12-02T00:58:00Z,20.010736533464843
210. ifc몰,st-56,2021-12-02T00:59:00Z,19.7909826233363
210. ifc몰,st-56,2021-12-02T01:00:00Z,20.3425527262637
210. ifc몰,st-56,2021-12-02T01:01:00Z,20.07991354025213
210. ifc몰,st-56,2021-12-02T01:02:00Z,19.932077417714183
210. ifc몰,st-56,2021-12-02T01:03:00Z,19.911629636143555
210. ifc몰,st-56,2021-12-02T01:04:00Z,19.29874867116009
210. ifc몰,st-56,2021-12-02T01:05:00Z,19.295384256874208
210. ifc몰,st-56,2021-12-02T01:06:00Z,19.195555173418953
210. ifc몰,st-56,2021-12-02T01:07:00Z,19.517250601899505
210. ifc몰,st-56,2021-12-02T01:08:00Z,19.816495830325007
210. ifc몰,st-56,2021-12-02T01:09:00Z,20.012195078429954
210. ifc몰,st-56,2021-12-02T01:10:00Z,19.682922156996305
210. ifc몰,st-56,2021-12-02T01:11:00Z,19.53112172644132
210. ifc몰,st-56,2021-12-02T01:12:00Z,19.320262370529854
210. ifc몰,st-56,2021-12-02T01:13:00Z,19.865889032983407
210. ifc몰,st-56,2021-12-02T01:14:00Z,19.78165459886038
210. ifc몰,st-56,2021-12-02T01:15:00Z,18.884708939241364
210. ifc몰,st-56,2021-12-02T01:16:00Z,19.179735766919894
210. ifc몰,st-56,2021-12-02T01:17:00Z,19.422835589926454
210. ifc몰,st-56,2021-12-02T01:18:00Z,18.49257576822218
210. ifc몰,st-56,2021-12-02T01:19:00Z,18.00032893947944
210. ifc몰,st-56,2021-12-02T01:20:00Z,18.85743405496623
210. ifc몰,st-56,2021-12-02T01:21:00Z,19.388457908735795
210. ifc몰,st-56,2021-12-02T01:22:00Z,19.793153157889055
210. ifc몰,st-56,2021-12-02T01:23:00Z,20.021219788056666
210. ifc몰,st-56,2021-12-02T01:24:00Z,19.630155776863006
210. ifc몰,st-56,2021-12-02T01:25:00Z,19.906946213101843
