item_id,id,date,p10,p50,p75,p90,mean
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:12:00Z,1.0754041488080834,10.225019316116825,13.22570930881511,16.17834127763812,9.883047678471915
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:13:00Z,1.1664207413425478,10.26786220547015,13.35793436828111,16.5396196829621,9.938410265225947
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:14:00Z,1.7197686447927727,10.36626404626169,13.598152490471477,16.850067833595016,10.185451739364343
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:15:00Z,1.018249980875447,10.374085809836183,13.539652759879182,16.391468148404094,9.966555159898883
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:16:00Z,0.5353125589571768,10.066158333760129,13.297023607741838,16.213991092882296,9.692976671888067
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:17:00Z,-0.593669381308999,9.06041814870302,12.445432361650765,15.637249896941448,8.531863868186381
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:18:00Z,0.7357276746091663,10.583058877874642,13.639615197714688,16.65739313419678,10.249449690535487
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:19:00Z,0.5835044744546917,10.313039136425115,13.377844109730749,16.473278497926955,9.909836028724309
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:20:00Z,0.9555275649019555,10.289645255386679,13.292844470660734,16.25954539703931,9.846834139918908
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:21:00Z,0.6959445442194234,10.324029070443395,13.445019774100995,16.24986429954351,9.827885964000949
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:22:00Z,0.7394223090733222,10.105593146065182,13.33226652322045,16.42162731830295,9.655955618283773
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:23:00Z,0.9719722687576793,10.365188536951871,13.283623927298704,16.34918054618627,9.95404384832209
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:24:00Z,0.8810872219197239,9.926123311823957,13.08977372132771,16.241074726368634,9.627828042893317
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:25:00Z,1.2912748975348762,9.852309483945433,13.17043999378153,16.44850359419331,9.586917894047874
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:26:00Z,0.3972229412449204,9.948772289038775,13.137701307970127,16.104920889281967,9.556374229032274
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:27:00Z,1.0922042049977496,10.404654452333203,13.29707616689837,16.56027171028599,10.082050584853981
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:28:00Z,1.2037938489344264,10.00974521459621,13.173561162169085,16.45260665032849,9.819127097797441
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:29:00Z,0.8763812882513491,10.17973028262857,13.362332341029308,16.951774140366595,9.854309082178982
211. 여의도역 4번출구 옆,st-57,2021-12-02T05:30:00Z,0.7845625489184125,10.074737708499457,13.356502945447138,16.581502356711674,9.770430270400038
