item_id,id,date,p10,p50,p75,p90,mean
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:09:00Z,27.974336744535574,34.09073095691965,35.962915589259225,37.1412778664076,32.86816913140703
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:10:00Z,27.90707184822423,34.42548824398759,36.32295015403185,39.027488521681406,33.456988226410424
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:11:00Z,27.868408812990584,34.64165097185517,36.438450121112076,38.741474928948236,33.46419328157329
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:12:00Z,27.948870772741177,34.8475913738489,36.301385054669126,39.23985793635497,33.60215296112529
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:13:00Z,27.93273495951633,34.44101036936571,35.79122348363747,37.55344741411151,32.94116040453113
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:14:00Z,28.00362066306711,34.529500889833336,36.269169496978165,38.92038637580549,33.788147568737195
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:15:00Z,27.945649633407708,34.51071042221386,36.40546409760599,39.00580368698939,33.29837574353694
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:16:00Z,27.735056382752973,34.52904829872498,36.39124777311061,38.1899744342357,33.38002935014639
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:17:00Z,27.485973122871442,34.1681577898541,36.11489941371761,38.847892873071956,33.047605829558584
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:18:00Z,27.27830258319669,34.8748267984569,36.50337675022833,38.67406802558867,33.777992964964525
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:19:00Z,26.632875322187452,33.88614849820659,36.23458950190422,38.40319618202969,32.79778096862692
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:20:00Z,26.95835399603081,34.648330912421216,36.69704306955815,38.99531596144351,33.25215378554252
207. 여의나루역 1번출구 앞,st-73,2021-12-02T00:21:00Z,27.223331077738234,34.467699851639054,36.27462265363021,39.289852802477455,33.44977364906779
